variety_name,basic_material_number,crop_description,pre_commercial_name
SAPORRO,000000000010762887,"BEAN, GARDEN",RX-1508
GOLD DUST,000000000010767404,"BEAN, GARDEN",EX-15340806
SV1003GF,000000000011099463,"BEAN, GARDEN",WAXC6V1003
GOLD MINE,000000000010775871,"BEAN, GARDEN",EX-B230
ANGERS,000000000010820974,"BEAN, GARDEN",RX-1145
SV1162GN,000000000011226763,"BEAN, GARDEN",SV-08081162
CARTHAGE,000000000011078832,"BEAN, GARDEN",SV08071160
MORALEDA,000000000011226767,"BEAN, GARDEN",SV08075309
STRINGLESS BLUE LAKE S 7,000000000010772511,"BEAN, GARDEN",STRINGLESS-BLUE-LAKE-S-7
ALHAMA,000000000010814552,"BEAN, GARDEN",RX-08015304
GINA,000000000010783376,"BEAN, GARDEN",EX-B35
BOURGONDIA,000000000010762633,"BEAN, GARDEN",EX-08031808
RIBERA,000000000010916029,"BEAN, GARDEN",EX-08061812
IMPACT,000000000010772517,"BEAN, GARDEN",EX-B254
UNIDOR,000000000010814498,"BEAN, GARDEN",RX-1407
SLENDERPACK,000000000010904135,"BEAN, GARDEN",EX-08780412
TIMGAD,000000000010915591,"BEAN, GARDEN",RX-08061277
SELMA,000000000010768001,"BEAN, GARDEN",RX-08021266
PERSEPOLIS,000000000011078830,"BEAN, GARDEN",RX-08061275
CADILLAC,000000000010760507,"BEAN, GARDEN",RX-1260
CARTAGENA,000000000010765750,"BEAN, GARDEN",RX-08031267
NITRO,000000000010757665,PEA,EX-F317
AMBIANCE,000000000010764955,PEA,EX-08230741
CRESCENDO,000000000010905135,PEA,EX-08220679
PA0826,000000000010910894,PEA,EX-08250826
ICE PACK,000000000010793364,PEA,EX-08500595
PIZARRO,000000000010832864,PEA,EX-08510612
SALINERO,000000000010824366,PEA,EX-08520702
SHERWOOD,000000000010825299,PEA,EX-08500564
SPRING,000000000010835196,PEA,EX-F27
EX 08540794,000000000010828448,PEA,EX08540794
SPANDIMO,000000000010806587,PEA,EX-08520657
ESTANCIA,000000000010757671,PEA,EX-384
